airline_id,name,alias,iata,icao,callsign,country_id,active
5481,Xabre Aerolineas,N,,XAB,AERO XABRE,188,N
5482,Xclusive Jet Charter Limited,N,,XJC,EXCLUSIVE JET,287,N
5483,Xerox Corporation,N,,XER,XEROX,288,N
5484,Xiamen Airlines,N,MF,CXA,XIAMEN AIR,95,Y
5485,Xinjiang Airlines,N,,CXJ,XINJIANG,95,N
5486,Xjet Limited,N,,XJT,XRAY,287,N
5487,Xtra Airways,N,XP,CXP,RUBY MOUNTAIN,288,N
5490,Yak-Service,N,,AKY,YAK-SERVICE,234,N
5491,Yakolev,N,,YAK,YAK AVIA,234,N
5492,Yamal Airlines,N,YL,LLM,YAMAL,234,Y
5493,Yana Airlines,N,,CYG,VICAIR,86,N
5494,Yangtze River Express,N,Y8,YZR,YANGTZE RIVER,95,N
5495,Yellow Wings Air Services,N,,ELW,YELLOW WINGS,162,N
5496,Yemenia,N,IY,IYE,YEMENI,298,Y
5497,Yerevan-Avia,N,,ERV,YEREVAN-AVIA,60,N
5498,Young Flying Service,N,,YFS,YOUNG AIR,288,N
5499,Yuhi Air Lines,N,,AYU,,159,N
5500,Yuzhnaya Aircompany,N,,UGN,PLUTON,161,N
5501,Yuzhmashavia,N,,UMK,YUZMASH,285,Y
5504,Z-Avia,N,,RZV,ZEDAVIA,60,N
5505,Zagros Airlines,N,,IZG,ZAGROS,152,N
5506,Zaire Aero Service,N,,ZAI,ZASAIR,110,N
5507,Zairean Airlines,N,,ZAR,ZAIREAN,110,N
5508,Zambian Airways,N,Q3,MBN,ZAMBIANA,299,N
5509,Zambezi Airlines,N,,ZMA,ZAMBEZI WINGS,299,N
5510,Zanair,N,,TAN,ZANAIR,273,Y
5511,Zantop International Airlines,N,,ZAN,ZANTOP,288,N
5512,ZAS Airlines of Egypt,N,,ZAS,ZAS AIRLINES,117,N
5513,Zenith Air,N,,AZR,ZENAIR,258,N
5514,Zenmour Airlines,N,,EMR,ZENMOUR,186,N
5515,Zephyr Express,N,,RZR,RECOVERY,288,N
5516,Zhejiang Airlines,N,,CJG,ZHEJIANG,95,N
5517,Zhetysu,N,,JTU,ZHETYSU,161,N
5518,Zhez Air,N,,KZH,,161,N
5519,Zhongfei General Aviation,N,,CFZ,ZHONGFEI,95,N
5520,Zhongyuan Aviation,N,,CYN,ZHONGYUAN,95,N
5521,Zip,N,3J,WZP,ZIPPER,88,N
5522,Zimex Aviation,N,C4,IMX,ZIMEX,268,N
5523,Zoom Airlines,N,Z4,OOM,ZOOM,88,Y
5524,Zoom Airways,N,,ZAW,ZED AIR,67,N
5525,Zorex,N,,ORZ,ZOREX,261,N
5526,Zracno Pristaniste Mali Losinj,N,,MLU,MALI LOSINJ,104,N
5533,Tyrolean Airways,N,N,TYR,TYROLEAN,198,Y
5556,buzz,N,UK,BUZ,N,198,N
5559,Maldivian Air Taxi,N,8Q,N,N,182,Y
5584,Sky Express,SkyExpress,XW,SXR,SKYSTORM,234,Y
5640,Yellow Air Taxi,,Y0,N,,288,N
