airport_id,name,city,country_id,iata,icao,latitude,longitude,altitude_ft,timezone_hrs,dst,tz,type,source
5409,Ngorangora Airport,Kirakira,255,IRA,AGGK,-10.4497003555,161.897994995,54,11.0,U,Pacific/Guadalcanal,airport,OurAirports
1528,Genoa Cristoforo Colombo Airport,Genoa,156,GOA,LIMJ,44.4133,8.8375,13,1.0,E,Europe/Rome,airport,OurAirports
1313,Le Puy-Loudes Airport,Le Puy,127,LPY,LFHP,45.0806999206543,3.762890100479126,2731,1.0,E,Europe/Paris,airport,OurAirports
3045,Dhanbad Airport,Dhanbad,150,DBD,VEDB,23.833999633789062,86.42530059814453,847,5.5,N,Asia/Calcutta,airport,OurAirports
705,Oskarshamn Airport,Oskarshamn,267,OSK,ESMO,57.350498,16.497999,96,1.0,E,Europe/Stockholm,airport,OurAirports
1833,Mar de Cortés International Airport,Punta Penasco,188,PPE,MMPE,31.351987,-113.305177,71,-7.0,S,America/Hermosillo,airport,OurAirports
1987,Nuku Hiva Airport,Nuku Hiva,129,NHV,NTMD,-8.795599937438965,-140.22900390625,220,-9.5,U,Pacific/Marquesas,airport,OurAirports
758,Laupheim Air Base,Laupheim,133,N,ETHL,48.220299,9.91002,1766,1.0,E,Europe/Berlin,airport,OurAirports
169,Sioux Lookout Airport,Sioux Lookout,88,YXL,CYXL,50.11389923095703,-91.9052963256836,1258,-6.0,A,America/Winnipeg,airport,OurAirports
94,Natashquan Airport,Natashquan,88,YNA,CYNA,50.18999862670898,-61.78919982910156,39,-5.0,A,America/Toronto,airport,OurAirports
371,Paderborn Lippstadt Airport,Paderborn,133,PAD,EDLP,51.6141014099,8.616319656369999,699,1.0,E,Europe/Berlin,airport,OurAirports
751,Ramstein Air Base,Ramstein,133,RMS,ETAR,49.4369010925293,7.600279808044434,776,1.0,E,Europe/Berlin,airport,OurAirports
6142,Pobedilovo Airport,Kirov,234,KVX,USKK,58.503299713135,49.348300933838,479,3.0,N,Europe/Moscow,airport,OurAirports
2591,Alberto Alcolumbre Airport,Macapa,78,MCP,SBMQ,0.0506640002131,-51.0722007751,56,-3.0,S,America/Fortaleza,airport,OurAirports
7642,Tasiilaq Heliport,Angmagssalik,137,N,BGAM,65.612296,-37.618335,24,-3.0,U,America/Godthab,airport,OurAirports
1017,Mzuzu Airport,Mzuzu,180,ZZU,FWUU,-11.444700241088867,34.01179885864258,4115,2.0,U,Africa/Blantyre,airport,OurAirports
3670,Dallas Fort Worth International Airport,Dallas-Fort Worth,288,DFW,KDFW,32.896801,-97.038002,607,-6.0,A,America/Chicago,airport,OurAirports
13233,Spartanburg Downtown Memorial Airport,Spartangurg,288,SPA,KSPA,34.915699005127,-81.956497192383,801,-5.0,A,N,airport,OurAirports
9799,Danville Regional Airport,Danville,288,DAN,KDAN,36.572898864746094,-79.33609771728516,571,-5.0,A,America/New_York,airport,OurAirports
